date,series_id,cost,orders,impressions,clicks
2021-02-01,Cable One|Paid Search|Brand,979.507157244192,21.0,3640.0,764.0
2021-02-01,NewWave|Paid Search|Brand,890.5860418520112,6.93,3848.13,903.87
2021-02-01,Sparklight|Paid Search|Brand,3818.445427315446,26.07,11794.869999999999,3359.13
2021-02-01,Sparklight|Paid Search|Nonbrand CableOne FP,1751.49896198171,3.0,2231.0,156.0
2021-02-01,Sparklight|Paid Search|Nonbrand NewWave FP,2184.39588283214,2.0,3541.0,306.0
2021-02-01,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,67206.0,113.0
2021-02-01,Sparklight|Paid Social|NewWave FP,308.590584148887,2.0,37958.0,107.0
2021-02-02,Cable One|Paid Search|Brand,870.777051928736,19.0,3438.0,701.0
2021-02-02,NewWave|Paid Search|Brand,851.7581961080217,6.93,3752.1,879.12
2021-02-02,Sparklight|Paid Search|Brand,3597.531032443675,25.07,11793.9,3358.88
2021-02-02,Sparklight|Paid Search|Nonbrand CableOne FP,1751.49896198171,3.0,2222.0,156.0
2021-02-02,Sparklight|Paid Search|Nonbrand NewWave FP,2183.56427286765,2.0,3085.0,305.0
2021-02-02,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,64727.0,129.0
2021-02-02,Sparklight|Paid Social|NewWave FP,305.327626046921,2.0,36342.0,102.0
2021-02-03,Cable One|Paid Search|Brand,830.384929535328,19.0,3417.0,691.0
2021-02-03,NewWave|Paid Search|Brand,1213.74185844482,9.9,5225.22,1236.51
2021-02-03,Sparklight|Paid Search|Brand,4686.56396797625,26.1,12514.779999999999,3517.49
2021-02-03,Sparklight|Paid Search|Nonbrand CableOne FP,1751.49896198171,3.0,2213.0,156.0
2021-02-03,Sparklight|Paid Search|Nonbrand NewWave FP,2800.99367663894,5.0,3085.0,383.0
2021-02-03,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,64727.0,133.0
2021-02-03,Sparklight|Paid Social|NewWave FP,321.345311222002,2.0,38762.0,124.0
2021-02-04,Cable One|Paid Search|Brand,830.384929535328,18.0,3504.0,710.0
2021-02-04,NewWave|Paid Search|Brand,1154.4512082988797,8.91,5049.99,1191.96
2021-02-04,Sparklight|Paid Search|Brand,4402.06172237776,24.09,12643.01,3517.04
2021-02-04,Sparklight|Paid Search|Nonbrand CableOne FP,1573.67789017085,2.0,2040.0,143.0
2021-02-04,Sparklight|Paid Search|Nonbrand NewWave FP,2825.55545263219,5.0,3117.0,385.0
2021-02-04,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,63451.0,130.0
2021-02-04,Sparklight|Paid Social|NewWave FP,303.082246430265,2.0,36239.0,101.0
2021-02-05,Cable One|Paid Search|Brand,870.777051928736,18.0,3697.0,761.0
2021-02-05,NewWave|Paid Search|Brand,1140.2446222902934,8.91,5050.98,1190.97
2021-02-05,Sparklight|Paid Search|Brand,4379.216387468696,24.09,13021.02,3517.0299999999997
2021-02-05,Sparklight|Paid Search|Nonbrand CableOne FP,1238.07316142043,1.0,1720.0,118.0
2021-02-05,Sparklight|Paid Search|Nonbrand NewWave FP,2696.38651336009,3.0,2960.0,369.0
2021-02-05,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,63231.0,123.0
2021-02-05,Sparklight|Paid Social|NewWave FP,346.118503020635,2.0,34925.0,125.0
2021-02-06,Cable One|Paid Search|Brand,425.957374428035,17.0,2969.0,553.0
2021-02-06,NewWave|Paid Search|Brand,987.4916447581122,7.92,4765.86,977.13
2021-02-06,Sparklight|Paid Search|Brand,3244.5588530810746,16.08,12337.14,3212.87
2021-02-06,Sparklight|Paid Search|Nonbrand CableOne FP,889.378651168408,1.0,1441.0,95.0
2021-02-06,Sparklight|Paid Search|Nonbrand NewWave FP,2792.73614107611,5.0,2960.0,383.0
2021-02-06,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,63849.0,125.0
2021-02-06,Sparklight|Paid Social|NewWave FP,332.414549569693,2.0,38391.0,125.0
